element,Z,N,A,binding_energy_MeV,binding_energy_per_nucleon_MeV
Sn,50,68,118,1004.9510238000001,8.516534100000001
Sn,50,69,119,1011.4344785999999,8.4994494
Sn,50,70,120,1020.5385599999998,8.504487999999998
Te,52,68,120,1017.2382839999998,8.476985699999998
Sb,51,70,121,1026.3289454,8.4820574
Sn,50,72,122,1035.5234096,8.4878968
Te,52,70,122,1034.3320429999999,8.4781315
Sb,51,72,123,1042.0953108,8.4723196
Sn,50,74,124,1049.9575628,8.4673997
Te,52,72,124,1050.685542,8.4732705
Te,52,73,125,1057.2545125,8.4580361
Te,52,74,126,1066.3682022,8.4632397
Xe,54,72,126,1063.8857249999999,8.4435375
I,53,74,127,1072.576214,8.445482
Xe,54,74,128,1080.7425024000001,8.443300800000001
Xe,54,75,129,1087.6493616,8.4313904
Xe,54,76,130,1096.905082,8.4377314
Ba,56,74,130,1092.7166900000002,8.405513000000001
Xe,54,77,131,1103.5095076999999,8.4237367
Xe,54,78,132,1112.4462228000002,8.427622900000001
Cs,55,78,133,1118.5271538000002,8.4099786
Ba,56,78,134,1126.6951954,8.4081731
Ba,56,79,135,1133.6671574999998,8.397534499999999
Ba,56,80,136,1142.7748976,8.4027566
Ce,58,78,136,1138.8316864,8.3737624
Ba,56,81,137,1149.6805456,8.391828799999999
Ba,56,82,138,1158.2922636000003,8.393422200000002
La,57,82,139,1164.5418193,8.377998700000001
Ce,58,82,140,1172.68263,8.3763045
Pr,59,82,141,1177.9119131999998,8.353985199999999
Nd,60,82,142,1185.136402,8.346031
Nd,60,83,143,1191.2599699,8.3304893
Sm,62,82,144,1195.72992,8.30368
Nd,60,85,145,1204.8323035,8.3091883
Nd,60,86,146,1212.3975342,8.3040927
Nd,60,88,148,1225.0223144,8.277177799999999
Sm,62,87,149,1231.2567767000003,8.263468300000001
Sm,62,88,150,1239.2435249999999,8.261623499999999
Sm,62,90,152,1253.097804,8.2440645
Eu,63,90,153,1258.9912683,8.2287011
Sm,62,92,154,1266.9330366,8.2268379
Gd,64,90,154,1266.6191384,8.2247996
Gd,64,91,155,1273.0543855,8.2132541
Gd,64,92,156,1281.5907468,8.2153253
Dy,66,90,156,1278.0201096,8.1924366
Gd,64,93,157,1287.9506304000001,8.2035072
Gd,64,94,158,1295.8880182,8.2018229
Dy,66,92,158,1294.0405084,8.1901298
Tb,65,94,159,1302.0195975,8.1888025
Gd,64,96,160,1309.282736,8.1830171
Dy,66,94,160,1309.448416,8.1840526
Dy,66,95,161,1315.9027973,8.1733093
Dy,66,96,162,1324.0997909999999,8.1734555
Er,68,94,162,1320.6881358,8.1523959
Dy,66,97,163,1330.370792,8.161783999999999
Dy,66,98,164,1338.0289156000001,8.158712900000001
Er,68,96,164,1336.4391324,8.1490191
Ho,67,98,165,1344.2482515,8.1469591
Er,68,98,166,1351.5633513999999,8.1419479
Er,68,99,167,1357.9997784,8.1317352
Er,68,100,168,1365.7710696000001,8.1295897
Yb,70,98,168,1362.797016,8.111887
Tm,69,100,169,1371.3454637999998,8.1144702
Er,68,102,170,1379.031993,8.1119529
Yb,70,100,170,1378.123717,8.1066101
Yb,70,101,171,1384.7379246,8.0978826
Yb,70,102,172,1392.7578740000001,8.0974295
Yb,70,103,173,1399.1249748,8.0874276
Yb,70,104,174,1406.5895694,8.0838481
Lu,71,104,175,1412.0997100000002,8.0691412
Yb,70,106,176,1419.2790128000001,8.0640853
Hf,72,104,176,1418.7994304,8.0613604
Hf,72,105,177,1425.1750605,8.0518365
Hf,72,106,178,1432.8009964,8.0494438
Hf,72,107,179,1438.8999846000002,8.0385474
Hf,72,108,180,1446.287742,8.0349319
Ta,73,108,181,1452.2363050000001,8.023405
W,74,108,182,1459.3323472,8.0183096
W,74,110,184,1472.9342967999999,8.0050777
Re,75,110,185,1478.3368685,7.9910101000000004
W,74,112,186,1485.8800836,7.9886026
Os,76,111,187,1491.0971218,7.9737814
Os,76,112,188,1499.0867328,7.9738656
Os,76,113,189,1505.0075481000001,7.9630029
Os,76,114,190,1512.799893,7.9621047
Ir,77,114,191,1518.0898504000002,7.948114400000001
Os,76,116,192,1526.116992,7.948526
Pt,78,114,192,1524.9585216,7.9424923
Ir,77,116,193,1532.0599778,7.938134600000001
Pt,78,116,194,1539.572748,7.935942
Pt,78,117,195,1545.677835,7.926553
Pt,78,118,196,1553.5998212,7.9265297
Hg,80,116,196,1551.21652,7.91437
Au,79,118,197,1559.3839956000002,7.9156548
Pt,78,120,198,1567.0019376,7.9141512
Hg,80,118,198,1566.4875336,7.9115532
Hg,80,119,199,1573.1506006000002,7.9052794
Hg,80,120,200,1581.17912,7.9058956
Hg,80,121,201,1587.4097007,7.8975607
Hg,80,122,202,1595.163801,7.896850499999999
Tl,81,122,203,1600.868759,7.8860529999999995
Hg,80,124,204,1608.651282,7.8855455
Tl,81,124,205,1615.070893,7.8783946
Pb,82,124,206,1622.324572,7.875362
Pb,82,125,207,1629.0623448000001,7.8698664
Pb,82,126,208,1636.430224,7.867453
